Post_text,success
"['coś', 'który', 'chcieć', 'zobaczyć', 'jaka', 'wiek', 'praktyka', 'składać', 'siebie', 'słynny', 'fan', 'page', 'u', 'model', 'lega', 'bulla']",6.375
"['volkswagen', 'budzić', 'emocja']",12.875
"['który', 'tęsknić', 'za', 'wakacje', 'zamek', 'z', 'piasku', 'dawny', 'wyjść', 'z', 'moda']",33.375
"['najdłuższy', 'trasa', 'pokonać', 'za', 'kierownica', 'samochód']",65.125
"['widzieć', 'film', 'z', 'testo', 'zderzeniowy', 'volkswagena', 'up', 'warto', 'zobaczyć', 'przypominać', 'model', 'otrzymać', 'oda', 'euro', 'ncap', 'aż', 'gwiazdka']",10.75
"['lubić', 'wiek', 'swoje', 'vw', 'oda', 'volkswagen']",64.125
"['volkswagen', 'passat', 'alltrack', 'zdecydować', 'nadawać', 'siebie', 'aktywny', 'weekend', 'chętny', 'przejażdżka']",16.25
"['prawda', 'posiadać', 'model', 'passat', 'alltrack', 'musieć', 'wybierać', 'między', 'samochód', 'osobowy', 'a', 'suvem', 'dzięki', 'seryjny', 'trybowy', 'jazda', 'terenowy', 'ale', 'ciekawy', 'zwolennik', 'suvów']",9.25
"['drugi', 'runda', 'scirocco', 'rok', 'za', 'adam', 'gładysz', 'podium', 'serdecznie', 'gratulować']",12.25
"['skrzynia', 'preferować', 'automatyczny', 'cza', 'manualny']",168.5
"['pisać', 'ostatnio', 'ojciec', 'seryjny', 'tryb', 'jazda', 'terenowy', 'wiek', 'nowy', 'vw', 'alltrack', 'cza', 'wiedzieć', 'jednak', 'charakteryzować', 'siebie', 'system', 'włączyć', 'funkcja', 'jazda', 'oraz', 'wpierać', 'kierowca', 'dopasowywać', 'siebie', 'warunki', 'panujący', 'wiek', 'teren', 'mowa', 'metr', 'inaczej', 'ojciec', 'abs', 'eds', 'oraz', 'dsg']",15.25
"['tryba', 'jazda', 'offroad', 'który', 'dostępny', 'wiek', 'model', 'volkswagen', 'passat', 'alltrack', 'dostępny', 'także', 'wiek', 'model', 'vw', 'wiedzieć']",31.875
"['kobieta', 'wyglądać', 'zjawiskowo', 'z', 'vw', 'dobry', 'rozpocząć', 'niedzieli']",40.875
"['potrafić', 'wymienić', 'wszystek', 'model', 'vw', 'zdjęcie']",66.5
"['zawodników', 'krajów', 'polaków', 'mowa', 'oczywiście', 'ojciec', 'scirocco', 'rok', 'cup', 'wiek', 'najbliższy', 'sobotę', 'wraz', 'z', 'stały', 'grupa', 'zawodników', 'wystartować', 'gościnnie', 'damon', 'hill', 'mistrz', 'świat', 'formuła', 'wspaniały', 'widowisko', 'móc', 'zobaczyć', 'tvp', 'sport', 'wiek', 'środa', 'maja', 'ojciec', 'godzina', 'emisja', 'wyścig', 'który', 'siebie', 'odbyć', 'zaplanować', 'wtorek', 'maja', 'ojciec', 'godzina', 'hockenheim', 'oraz', 'środa', 'maja', 'także', 'ojciec', 'lausitzring', 'trzymać', 'oczywiście', 'kciuk', 'za', 'adama', 'gładysz', 'rok', 'pokonać', 'rajdowy', 'mistrz', 'świat', 'carlosa', 'sainza', 'cza', 'wiek', 'przyjść', 'weekend', 'szybszy', 'oda', 'mistrz', 'świat', 'f']",59.5
"['wnęter', 'alltrack', 'zdecydować', 'przyciągać', 'listwa', 'z', 'stały', 'rdzewny', 'siedzieć', 'pokryć', 'alcantrą', 'tytanowo', 'srebrny', 'aplikacja', 'pedał', 'z', 'aluminiowy', 'nakładka', 'automatyczny', 'klimatyzacja', 'jaka', 'siebie', 'podobać']",19.0
"['który', 'kolor', 'garbus', 'wybierać']",44.25
"['chcieć', 'sprawdzić', 'możliwość', 'up', 'świetnie', 'siebie', 'przy', 'bawić', 'zapraszać', 'wiek', 'najbliższy', 'weekend', 'wrocławia', 'a', 'późno', 'kolejny', 'miasto', 'łódź', 'i', 'krakowa', 'zobaczyć', 'za', 'kierownica', 'nowy', 'up']",8.125
"['miłośnik', 'jetta', 'specjalnie', 'kolejny', 'świetny', 'reklama', 'vw']",13.5
"['znaleźć', 'wiek', 'internet', 'pamiętać', 'ił', 'mieć', 'rok', 'pierwszy', 'raz', 'usiąść', 'za', 'kierownica', 'samochód', 'konieczny', 'taka', 'mały', 'jaka', 'obrazek']",14.25
"['weekend', 'idealny', 'czas', 'relaks', 'przy', 'no', 'właśnie', 'z', 'przykład', 'luby', 'pojeździć', 'siebie', 'wiek', 'wirtualny', 'wyścig', 'jaka', 'przykład', 'poniższy', 'filmik']",11.125
